Feature	GO_category
GO:0006788 heme oxidation	GO Biol. Process
GO:0042632 cholesterol homeostasis	GO Biol. Process
GO:0042953 lipoprotein transport	GO Biol. Process
GO:0043010 camera-type eye development	GO Biol. Process
GO:0002088 lens development in camera-type eye	GO Biol. Process
GO:0048593 camera-type eye morphogenesis	GO Biol. Process
GO:0061303 cornea development in camera-type eye	GO Biol. Process
GO:0043576 regulation of respiratory gaseous exchange	GO Biol. Process
GO:0045218 zonula adherens maintenance	GO Biol. Process
GO:0045822 negative regulation of heart contraction	GO Biol. Process
GO:0002026 regulation of the force of heart contraction	GO Biol. Process
GO:0045823 positive regulation of heart contraction	GO Biol. Process
GO:0086064 cell communication by electrical coupling involved in cardiac conduction	GO Biol. Process
GO:0045995 regulation of embryonic development	GO Biol. Process
GO:0046931 pore complex assembly	GO Biol. Process
GO:0048514 blood vessel morphogenesis	GO Biol. Process
GO:0048741 skeletal muscle fiber development	GO Biol. Process
GO:0048854 brain morphogenesis	GO Biol. Process
GO:0051258 protein polymerization	GO Biol. Process
GO:0052576 carbohydrate storage	GO Biol. Process
GO:0055085 transmembrane transport	GO Biol. Process
GO:0055119 relaxation of cardiac muscle	GO Biol. Process
GO:0060034 notochord cell differentiation	GO Biol. Process
GO:0060035 notochord cell development	GO Biol. Process
GO:0061053 somite development	GO Biol. Process
GO:0001704 formation of primary germ layer	GO Biol. Process
GO:0061113 pancreas morphogenesis	GO Biol. Process
GO:0070588 calcium ion transmembrane transport	GO Biol. Process
GO:0071383 cellular response to steroid hormone stimulus	GO Biol. Process
GO:0086009 membrane repolarization	GO Biol. Process
GO:0090063 positive regulation of microtubule nucleation	GO Biol. Process
GO:0090136 epithelial cell-cell adhesion	GO Biol. Process
GO:0097272 ammonium homeostasis	GO Biol. Process
GO:1903416 response to glycoside	GO Biol. Process
GO:1990573 potassium ion import across plasma membrane	GO Biol. Process
GO:2000074 regulation of type B pancreatic cell development	GO Biol. Process
GO:0005576 extracellular region	GO Cell. Compart.
GO:0005577 fibrinogen complex	GO Cell. Compart.
GO:0005615 extracellular space	GO Cell. Compart.
GO:0005634 nucleus	GO Cell. Compart.
GO:0005764 lysosome	GO Cell. Compart.
GO:0005886 plasma membrane	GO Cell. Compart.
GO:0005890 sodium:potassium-exchanging ATPase complex	GO Cell. Compart.
GO:0005915 zonula adherens	GO Cell. Compart.
GO:0016323 basolateral plasma membrane	GO Cell. Compart.
GO:0030018 Z disc	GO Cell. Compart.
GO:0034359 mature chylomicron	GO Cell. Compart.
GO:0034361 very-low-density lipoprotein particle	GO Cell. Compart.
GO:0034362 low-density lipoprotein particle	GO Cell. Compart.
GO:0042383 sarcolemma	GO Cell. Compart.
GO:0003824 catalytic activity	GO Mol. Function
GO:0004013 adenosylhomocysteinase activity	GO Mol. Function
GO:0004087 carbamoyl-phosphate synthase (ammonia) activity	GO Mol. Function
GO:0004088 carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	GO Mol. Function
GO:0004252 serine-type endopeptidase activity	GO Mol. Function
GO:0004392 heme oxygenase (decyclizing) activity	GO Mol. Function
GO:0008395 steroid hydroxylase activity	GO Mol. Function
GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds	GO Mol. Function
GO:0004866 endopeptidase inhibitor activity	GO Mol. Function
GO:0004867 serine-type endopeptidase inhibitor activity	GO Mol. Function
GO:0030414 peptidase inhibitor activity	GO Mol. Function
GO:0005201 extracellular matrix structural constituent	GO Mol. Function
GO:0005319 lipid transporter activity	GO Mol. Function
GO:0120020 cholesterol transfer activity	GO Mol. Function
GO:0005509 calcium ion binding	GO Mol. Function
GO:0008028 monocarboxylic acid transmembrane transporter activity	GO Mol. Function
GO:0016491 oxidoreductase activity	GO Mol. Function
GO:0016798 hydrolase activity, acting on glycosyl bonds	GO Mol. Function
GO:0016972 thiol oxidase activity	GO Mol. Function
GO:0016671 oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	GO Mol. Function
GO:0020037 heme binding	GO Mol. Function
GO:0031402 sodium ion binding	GO Mol. Function
GO:0048030 disaccharide binding	GO Mol. Function
GO:0050750 low-density lipoprotein particle receptor binding	GO Mol. Function
GO:0102250 linear malto-oligosaccharide phosphorylase activity	GO Mol. Function
GO:0004645 1,4-alpha-oligoglucan phosphorylase activity	GO Mol. Function
GO:0008184 glycogen phosphorylase activity	GO Mol. Function
GO:0102499 SHG alpha-glucan phosphorylase activity	GO Mol. Function
GO:0140662 ATP-dependent protein folding chaperone	GO Mol. Function
GO:1990239 steroid hormone binding	GO Mol. Function
